"Molecule
","Market
","Manufacturer
","Product
","Molecule Combination Type
","Launch Year
","Corporation
","MIDAS Corporation
","Strength
","ATC1
","ATC2
","ATC4
","ATC3
","Pack
","Launch Date
","Retail Price
","NFC1
","NFC3
","NFC2
","2025
LC Value","2025
Units","2024
LC Value","2024
Units","2023
LC Value","2023
Units","2022
LC Value","2022
Units","2021
LC Value","2021
Units","2020
LC Value","2020
Units"
"
(RS)-3 METHYL-2-OXOVALERIANIC ACID
","
LPO
","
FRESENIUS KABI
","
KETOSTERIL
","
COMBI
","
2001
","
FRESENIUS KABI*
","
FRESENIUS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A16 OTHER METABOLIC PRODUCTS
","
A16A0 OTHER METABOLIC PRODUCTS
","
A16A OTHER METABOLIC PRODUCTS
","
FILM C.TABS 100
","
200109
","
161.00
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","6,440",40,"21,252",132,"23,184",144,"32,200",200,"43,792",272,"11,592",72
"
(RS)-3 METHYL-2-OXOVALERIANIC ACID
","
PRIVATE MARKET
","
FRESENIUS KABI
","
KETOSTERIL
","
COMBI
","
2001
","
FRESENIUS KABI*
","
FRESENIUS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A16 OTHER METABOLIC PRODUCTS
","
A16A0 OTHER METABOLIC PRODUCTS
","
A16A OTHER METABOLIC PRODUCTS
","
FILM C.TABS 100
","
200109
","
161.00
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","323,610","2,010","625,485","3,885","395,899","2,459","363,699","2,259","261,947","1,627","132,342",822
"
(RS)-3-METHYL-2-OXOBUTYRIC ACID
","
LPO
","
FRESENIUS KABI
","
KETOSTERIL
","
COMBI
","
2001
","
FRESENIUS KABI*
","
FRESENIUS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A16 OTHER METABOLIC PRODUCTS
","
A16A0 OTHER METABOLIC PRODUCTS
","
A16A OTHER METABOLIC PRODUCTS
","
FILM C.TABS 100
","
200109
","
161.00
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","6,440",40,"21,252",132,"23,184",144,"32,200",200,"43,792",272,"11,592",72
"
(RS)-3-METHYL-2-OXOBUTYRIC ACID
","
PRIVATE MARKET
","
FRESENIUS KABI
","
KETOSTERIL
","
COMBI
","
2001
","
FRESENIUS KABI*
","
FRESENIUS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A16 OTHER METABOLIC PRODUCTS
","
A16A0 OTHER METABOLIC PRODUCTS
","
A16A OTHER METABOLIC PRODUCTS
","
FILM C.TABS 100
","
200109
","
161.00
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","323,610","2,010","625,485","3,885","395,899","2,459","363,699","2,259","261,947","1,627","132,342",822
"
(RS)-4-METHYL-2-OXOVALERIANIC ACID
","
LPO
","
FRESENIUS KABI
","
KETOSTERIL
","
COMBI
","
2001
","
FRESENIUS KABI*
","
FRESENIUS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A16 OTHER METABOLIC PRODUCTS
","
A16A0 OTHER METABOLIC PRODUCTS
","
A16A OTHER METABOLIC PRODUCTS
","
FILM C.TABS 100
","
200109
","
161.00
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","6,440",40,"21,252",132,"23,184",144,"32,200",200,"43,792",272,"11,592",72
"
(RS)-4-METHYL-2-OXOVALERIANIC ACID
","
PRIVATE MARKET
","
FRESENIUS KABI
","
KETOSTERIL
","
COMBI
","
2001
","
FRESENIUS KABI*
","
FRESENIUS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A16 OTHER METABOLIC PRODUCTS
","
A16A0 OTHER METABOLIC PRODUCTS
","
A16A OTHER METABOLIC PRODUCTS
","
FILM C.TABS 100
","
200109
","
161.00
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","323,610","2,010","625,485","3,885","395,899","2,459","363,699","2,259","261,947","1,627","132,342",822
"
1;2-OCTANEDIOL
","
PRIVATE MARKET
","
THORNTON & ROSS
","
HEDRIN TREAT&GO
","
MONO
","
2014
","
STADA ARZENEIM*
","
STADA
","
0000
","
P0 PARASITOLOGY
","
P03 ECTOPARASITICIDES
","
P03A0 ECTOPARAS.INCL SCABICIDE
","
P03A ECTOPARAS.INCL SCABICIDE
","
SPRAY 1 60 ML
","
201411
","
79.00
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MGC TOP EXT SPRAYS WITHOUT GAS
","
MG TOP EXT LIQUIDS
",,,,,"7,735",119,"4,550",70,,,"4,160",64
"
1;3-BUTANEDIOL
","
PRIVATE MARKET
","
BIODERMA
","
BIODERMA CCB F50+
","
COMBI
","
2017
","
BIODERMA*
","
NAOS
","
0000
","
D0 DERMATOLOGICALS
","
D03 WOUND HEALING AGENTS
","
D03A9 OTH WOUND HEALING AGENTS
","
D03A WOUND HEALING AGENTS
","
CR.INTENSIV. 1 30 ML
","
201709
","
71.50
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MTA TOP EXT CREAMS N O S
","
MT TOP EXT CREAMS
",429,6,"79,795","1,116","182,899","2,558","117,048","1,637","75,506","1,056","5,506",77
"
1-HEXADECANOL
","
PRIVATE MARKET
","
VICHY
","
VICHY DERCOS
","
COMBI
","
2006
","
LOREAL*
","
L OREAL
","
0000
","
D0 DERMATOLOGICALS
","
D01 ANTIFUNGALS DERMATOLOGICL
","
D01A3 TOP SCALP ANTIFUNGALS
","
D01A ANTIFUNGALS DERMATOLOGICL
","
SHAMPOO 1 200 ML
","
200604
","
53.00
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MGW TOP EXT LIQUID SOAPS/WASHES
","
MG TOP EXT LIQUIDS
",,,,,,,,,,,"6,466",122
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
EGO PHARM
","
QV
","
COMBI
","
2015
","
EGO PHARM*
","
EGO
","
0000
","
D0 DERMATOLOGICALS
","
D02 EMOLLIENTS & PROTECTIVES
","
D02A0 EMOLLIENTS & PROTECTIVES
","
D02A EMOLLIENTS & PROTECTIVES
","
SKIN LOTION 1 250 ML
","
201502
","
65.00
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MGS TOP EXT LOTIONS
","
MG TOP EXT LIQUIDS
","13,000",200,,,,,,,,,,
